;date;price;hashrate;difficulty;reward;e_min_005;e_min_010;e_min_014;c_btc_005;c_btc_010;c_btc_014;max_k_antminer;max_k_bitfury;min_consumption;max_consumption_005;max_consumption_014;mixed_consumption_005;c_btc_005_max_e;c_btc_010_max_e;c_btc_014_max_e
3648;04/01/2009;0.0;0.0;0.0;50.0;;;;0.0;0.0;0.0;;;;;;;;;
3647;05/01/2009;0.0;0.0;0.0;50.0;;;;0.0;0.0;0.0;;;;;;;;;
3646;06/01/2009;0.0;0.0;0.0;50.0;;;;0.0;0.0;0.0;;;;;;;;;
3645;07/01/2009;0.0;0.0;0.0;50.0;;;;0.0;0.0;0.0;;;;;;;;;
3644;08/01/2009;0.0;0.0;0.0;50.0;;;;0.0;0.0;0.0;;;;;;;;;
3643;09/01/2009;0.0;6.959437748149999e-07;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3642;10/01/2009;0.0;1.5410183585200001e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3641;11/01/2009;0.0;5.26928858074e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3640;12/01/2009;0.0;4.42421399704e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3639;13/01/2009;0.0;5.71668100741e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3638;14/01/2009;0.0;6.26349397333e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3637;15/01/2009;0.0;6.31320424296e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3636;16/01/2009;0.0;5.76639127704e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3635;17/01/2009;0.0;5.36870912e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3634;18/01/2009;0.0;5.02073723259e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3633;19/01/2009;0.0;5.915522085930001e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3632;20/01/2009;0.0;5.76639127704e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3631;21/01/2009;0.0;5.61726046815e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3630;22/01/2009;0.0;3.7282702222199996e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3629;23/01/2009;0.0;3.3305880651900002e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3628;24/01/2009;0.0;9.8923436563e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3627;25/01/2009;0.0;9.64379230815e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3626;26/01/2009;0.0;5.76639127704e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3625;27/01/2009;0.0;5.12015777185e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3624;28/01/2009;0.0;5.12015777185e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3623;29/01/2009;0.0;6.06465289481e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3622;30/01/2009;0.0;6.01494262519e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
