# Bitcoin Mining Hardware Evolution
# Release date, Performance, Name
25-Jul-2011,2,ATI 5770
18-Aug-2011,15,Bitcoin Dominator X5000
17-Jul-2012,15,Lancelot
19-Jan-2013,107,Avalon Batch 1
30-Jan-2013,117,Avalon Batch 2
7-Feb-2013,20,Butterflylabs Mini Rig
16-Apr-2013,130,ASICMiner BE Blade
4-May-2013,129,ASICMiner BE Sapphire
17-May-2013,131,Block Erupter Sapphire
25-May-2013,131,Avalon Clone 85GH
31-May-2013,704,Bitfury - Metabank
13-Jun-2013,222,BFL Bitforce S60
17-Jun-2013,141,TerraHash DX Mini (full)
18-Jun-2013,185,BFL Mini Rig SC
18-Jun-2013,141,TerraHash DX Large (full)
13-Jun-2013,222,BFL Bitforce S60
22-Sep-2013,800,FURY - NanoFury / IceFury
1-Oct-2013,833,KnC Jupiter
7-Mar-2014,909,Sierra Evo 3
1-Apr-2014,990,AntMiner�S2
12-Apr-2014,1176,Avalon USB Nano 3
1-Sep-2014,1633,Spondooliestech SP31 Yukon
27-Dec-2014,1958,AntMiner S5
1-Jul-2015,4017,AntMiner S7
1-Jun-2016,9310,AntMiner S9
1-Aug-2017,10178,AntMiner R4
1-Dec-2017,10526,Ebit E9++
20-Dec-2017,11111,Ebit E10
31-Dec-2017,12698,Bitfury Tardis B8
1-Feb-2018,15384,Whatsminer M10
1-May-2018,18867,8 Nano Pro
1-Oct-2018,22222,Ebit E11++
31-Dec-2018,22222,Ebit E11++
